word,meaning,pronunciation,syllables,partOfSpeech,example
purchaser,One who purchases.,,p-urch-as-er,noun,
purse,A small bag for carrying money.,/pɜːs/,p-urs-e,noun,
purser,"The person responsible for handling the accounts on a ship, or for dealing with the passengers on a ship or aircraft.",,p-urs-er,noun,
puzzle,Anything that is difficult to understand or make sense of.,/ˈpʌzəl/,p-uzzl-e,noun,Where he went after he left the house is a puzzle.
quarterly,A periodical publication that appears four times per year.,,q-uart-erl-y,noun,quarterly rent payments
query,"A question, an inquiry (US), an enquiry (UK).",/ˈkwɪə.ɹi/,q-uer-y,noun,The teacher answered the student’s query concerning biosynthesis.
questionnaire,A form containing a list of questions; a means of gathering information for a survey,/ˌk(w)estjəˈnɛə/,q-uest-ionn-air-e,noun,
quit,"To pay (a debt, fine etc.).",/kwɪt/,q-uit,verb,"After having to work overtime without being paid, I quit my job."
rack,"A series of one or more shelves, stacked one above the other",/ɹæk/,r-ack,noun,I bought a rack of lamb at the butcher's yesterday.
railway,A transport system using rails used to move passengers or goods.,/ˈɹeɪlˌweɪ/,r-ailw-ay,noun,
raincoat,A waterproof coat to be worn in the rain.,/ˈɹeɪnkəʊt/,r-ainc-oat,noun,
rainfall,The amount of rain that falls on a single occasion,,r-ainf-all,noun,
rainy,Pouring with rain; wet; showery,/ˈɹeɪni/,r-ain-y,adjective,"Due to the rainy weather, we decided not to play in the park."
ray,A beam of light or radiation.,/ɹeɪ/,r-ay,noun,I saw a ray of light through the clouds.
realistic,"Expressed or represented as being accurate, practicable, or not idealistic.",/ˌɹiːjəˈlɪstɪk/,r-eal-ist-ic,adjective,A realistic appraisal of the situation.
realtor,"A person or business that sells or leases out real estate, acting as an agent for the property owner.",/ˈɹi(ə)l.tɔɹ/,r-ealt-or,noun,
rearrange,To change the order or arrangement of (one or more items).,,r-earr-ang-e,verb,
reassure,To assure anew; to restore confidence to; to free from fear or self-doubt.,/ɹiəˈʃʊə(ɹ)/,r-eass-ur-e,verb,The boy's mother reassured him that there was no monster hiding under the bed.
rebate,A deduction from an amount that is paid; an abatement.,/ɹəˈbeɪt/,r-eb-at-e,noun,
receipt,"The act of receiving, or the fact of having been received.",/ɹɪˈsiːt/,r-ec-eipt,noun,A balance payable on receipt of the goods.
reception,The act of receiving.,/ɹɪˈsɛp.ʃn̩/,r-ec-ept-ion,noun,The new system provides exceptional quality of the reception signal.
receptionist,"An employee (such as a secretary) who works in reception (receiving visitors and/or calls) for a person or business, especially an office.",/ɹɪˈsɛpʃənɪst/,r-ec-ept-ion-ist,noun,
recession,The act or an instance of receding or withdrawing.,/ɹɪˈsɛʃn̩/,r-ec-ess-ion,noun,
recipe,"A formula for preparing or using a medicine; a prescription; also, a medicine prepared from such instructions.",/ˈɹɛs.ə.pi/,r-ec-ip-e,noun,His new approach is definitely a recipe for success.
recipient,One who receives.,/ɹəˈsɪp.i.ənt/,r-ec-ip-ient,noun,My e-mail never reached the intended recipient.
reconsider,To consider a matter again,,r-ec-ons-id-er,verb,Is there any way I can get you to reconsider selling your car?
recreation,"Any activity, such as play, that amuses, diverts or stimulates.",/ɹɛkɹiˈeɪʃən/,r-ecr-eat-ion,noun,
recreational,"For, or relating to, recreation.",,r-ecr-eat-ion-al,adjective,
recruiter,"Agent noun of recruit; one who recruits, particularly one employed to recruit others.",,r-ecr-uit-er,noun,The army recruiter promised that I'd see the world and learn useful skills if I enlisted.
recruitment,"The process or art of finding candidates for a post in an organization, or recruits for the armed forces.",,r-ecr-uitm-ent,noun,
recur,"To have recourse (to) someone or something for assistance, support etc.",/ɹɪˈkɜː(ɹ)/,r-ec-ur,verb,The theme of the prodigal son recurs later in the third act.
recycle,An act of recycling.,/ɹiˈsaɪkəl/,r-ec-ycl-e,noun,Both paper and plastic can be recycled.
redecorate,To change the appearance of a place by altering the decor.,,r-ed-ec-or-at-e,verb,
redesign,"A plan for making changes to the structure and functions of an artifact, building or system so as to better serve the purpose of the original design, or to serve purposes different from those set forth in the original design.",,r-ed-es-ign,noun,
referee,An umpire or judge; an official who makes sure the rules are followed during a game.,/ˌɹɛf.əˈɹiː/,r-ef-er-ee,noun,The referee kicked Jim out of the game for fighting.
referral,"The act or process of transferring someone or something to another, of sending by reference, or referring.",/ɹɪˈfɜːɹəl/,r-ef-err-al,noun,The insurance company insists I get a referral from my regular doctor. I can't just go to the specialist; a GP has got to refer me.
refinery,"A building, or a mass of machinery, used to produce refined products such as sugar, oil, or metals.",,r-ef-in-er-y,noun,
reflexive,"That reflects, or redirects back to the source.",/ɹəˈflɛksɪv/,r-efl-ex-iv-e,adjective,Mirrors are reflective.
refresh,"The periodic energizing required to maintain the contents of computer memory, the display luminance of a computer screen, etc.",/ɹiˈfɹɛʃ/,r-efr-esh,noun,Sleep refreshes the body and the mind.
refreshment,"The action of refreshing; a means of restoring strength, energy or vigour.",/ɹɪˈfɹeʃ.mənt/,r-efr-eshm-ent,noun,
refrigerator,A household appliance used for keeping food fresh by refrigeration (short form fridge).,/ɹɪˈfɹɪd͡ʒəˌɹeɪtə/,r-efr-ig-er-at-or,noun,
refund,An amount of money returned.,,r-ef-und,noun,"If the camera is faulty, you can return it to the store where you bought it for a full refund."
refundable,,,r-ef-und-abl-e,,

